Small Unit Installation Postcode,Previous Years (2001-2020) - Installations Quantity,Previous Years (2001-2020) - SGU Rated Output In kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,Jun 2021 - Installations Quantity,Jun 2021 - SGU Rated Output In kW,Jul 2021 - Installations Quantity,Jul 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022- Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022- Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022- Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022- Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022- Installations Quantity,May 2022 - SGU Rated Output In kW,June 2022- Installations Quantity,June 2022 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2020,329,2350.992,7,36.735,7,70.92,4,41.07,14,65.09,6,35.27,2,13.29,3,23.94,2,13.84,0,0,3,113.9,5,131.73,3,28.375,1,6.29,6,42.18,6,133.445,3,26,2,107,4,36,407,3276.272
2023,232,1647,2,19.29,7,65.78,4,24.765,2,13.86,3,37.09,4,28.86,3,38.08,1,3.3,3,21.165,3,36.79,6,63.745,6,43.685,1,6.6,1,12.8,1,11.6,2,20,1,15,4,63,286,2172.245
2033,186,1089.767,4,56.49,5,39.48,3,19.12,2,19.47,8,56.35,2,12.18,2,16.65,3,25.56,0,0,1,13.26,2,31.08,2,14.8,4,29.24,1,6.66,5,39.85,1,8,4,32,4,28,239,1537.557
2048,212,1109.759,4,25.275,3,16.57,5,33.64,2,19.04,4,32.055,3,22.535,1,8.14,2,5.92,7,43.89,0,0,0,0,4,27.67,3,43.25,3,19.56,2,12,1,36,2,12,4,27,262,1493.254
2049,326,1511.403,5,34.2,6,33.75,7,41.02,3,21.37,2,13.83,7,42.49,0,0,17,83.16,7,46.62,2,16.89,3,22.66,6,47.62,1,6.66,2,12.81,6,25.58,3,20,5,32,4,30,412,2042.043
2069,685,3773.524,7,66.01,14,110.015,14,122.14,21,185.195,12,84.415,10,75.06,5,46.14,6,45.77,7,56.525,11,98.74,10,91.275,19,229.275,7,68.57,13,133.125,7,60.63,7,66,11,113,4,31,870,5456.054
2084,293,2013.452,7,61.77,3,28.86,3,44.76,3,20.35,3,21.83,8,60.235,2,10.66,5,77.855,2,15.54,0,0,4,37.22,3,49.5,0,0,2,17.16,5,49.96,6,47,1,13,4,35,354,2604.507
2089,99,626.886,3,33.49,1,3.6,0,0,1,6.29,0,0,2,14.32,1,3.3,0,0,1,5.11,1,6.63,0,0,5,70.35,0,0,2,22.68,1,7.02,0,0,3,23,4,30,124,851.906
2096,559,2588.601,9,79.49,8,50.535,7,58.06,8,63.205,7,68.3,15,116.78,4,39.155,4,35.29,6,62.46,7,63.94,6,46.09,7,70.04,5,39.07,11,95.44,11,82.38,12,113,8,75,4,29,698,3775.161
2115,505,2448.657,7,57.35,8,59.58,5,36.78,5,41.38,6,55.26,15,133.065,7,50.975,0,0,9,92.59,18,115.1,6,51.05,15,133.51,6,45.21,6,40.855,9,68.65,5,37,4,31,4,35,640,3533.737
2143,475,2406.142,6,50.88,17,145.79,9,113.84,7,57.26,6,47.91,5,34.28,4,35.74,3,27.06,6,63.54,8,168.48,4,38.585,9,88.2,3,25.37,3,23.42,6,48.64,6,45,4,21,4,37,585,3477.962
2144,1155,7050.017,13,165.86,15,220.93,23,208.24,23,234.025,9,83.28,12,158.66,16,133.97,7,69.44,23,262.11,15,196.04,14,131.31,24,357.35,15,131.9,11,91.005,8,107.01,8,95,17,133,4,33,1412,9861.337
2163,389,2718.519,4,45.94,12,186.28,10,110.1,8,158.67,6,45.42,12,130.23,5,249.34,1,13.26,5,48.56,9,39.93,11,373.93,9,252.92,4,33.54,2,15.78,4,118.98,2,13,5,71,4,212,502,4837.049
2167,911,4020.422,8,69.375,16,120.34,11,75.045,14,100.735,14,99.61,14,109.36,1,13.09,0,0,19,185.925,16,122.74,12,104.6,8,64.12,8,63.45,5,43.61,9,66.28,1,13,7,70,4,32,1078,5373.342
2214,388,2642.134,8,79.8,6,145.77,11,95.79,11,144,7,154.73,8,65.39,4,29.275,1,6.64,2,10.895,10,80.88,2,16.21,8,99.44,4,29.35,4,26.56,5,48.19,4,55,2,38,4,68,489,3836.189
2224,654,3620.214,9,63.96,10,74.685,18,166.185,14,105.88,9,89.05,10,94.34,8,70.61,13,114.98,14,130.95,7,65.23,10,89.73,12,115.985,9,79.08,10,80.375,14,119.995,2,13,4,36,4,27,831,5157.649
2225,313,1582.499,6,51.56,4,35.695,9,82.915,5,54.21,3,27.75,6,35.42,2,10.53,5,43.65,4,34.86,4,47.555,6,60.04,2,15.43,1,13.26,3,27.01,4,46.35,6,49,6,54,4,37,393,2308.664
2226,796,3411.776,11,85.08,16,114.495,13,103.61,11,85.015,10,71.27,12,107.76,9,69.66,9,64.685,10,67.325,14,127.4,12,94.06,11,92.325,3,34.97,6,40.8,8,72.71,8,60,11,105,4,33,974,4840.351
2278,353,1685.338,5,49.31,6,51.925,3,23.25,6,40.46,3,25.16,4,32.5,4,44.93,2,18.36,2,21.04,4,40.04,4,35.52,3,25.16,1,6.66,1,6.66,3,19.95,4,31,0,0,4,35,412,2191.888
2294,107,804.171,1,6.66,1,3.7,1,13.32,1,5.18,3,40.52,1,6.66,4,34.595,3,14.43,1,5.55,5,41.035,2,11.13,3,116.11,3,23.01,2,9.47,2,88.68,0,0,2,9,4,25,146,1258.316
2305,1040,4574.82,16,106.69,19,132.475,12,81.48,23,163.95,12,90.865,10,76.53,12,74.315,8,67.31,7,49.46,15,112.26,8,70.16,11,92.79,7,67.55,7,63.06,9,126.13,8,68,8,59,4,32,1236,6108.65
2326,980,4981.428,13,103.75,14,103.07,15,118.82,14,115.54,7,52.01,14,131.84,9,81.34,5,52.43,6,57.13,5,31.24,9,69.64,7,60.34,5,53.82,9,98.54,9,69.02,9,66,9,78,4,31,1143,6355.088
2343,556,2878.937,2,12.39,9,58.64,8,59.755,13,105.06,3,19.74,4,26.95,2,18.75,6,46.25,6,56.14,3,19.32,1,13.26,1,6.66,1,2.22,5,34.41,7,60.99,3,22,4,22,4,30,638,3494.182
2352,368,1589.364,2,10.225,4,30.85,2,6.73,4,18.33,3,23.88,3,21.7,5,26.85,5,32.93,1,6.66,2,13.26,7,52.15,4,29.06,1,10.36,1,10.36,6,38.794,2,17,6,42,4,28,430,2008.338
2365,519,3035.164,16,122.325,3,31.33,8,80.94,4,67.16,5,56.15,4,39.99,2,7.2,4,31.05,5,37.48,5,43.13,1,10.53,9,75.07,2,16.65,1,13.32,7,61.49,3,23,3,17,4,29,605,3798.129
2473,641,2357.74,4,24.33,6,43.51,5,33.44,5,36.7,7,40.92,10,69.47,7,59.61,8,66.89,5,31.66,8,58.325,5,29.13,5,45.69,1,24.42,4,25.74,3,15.66,0,0,3,18,4,25,731,3005.865
