Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
3004,16,344.61,0,0.00,0,0.00,0,0,0,0.00,0,0.00,1,1.60,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,17,346.21
3006,27,712.40,0,0.00,0,0.00,0,0,0,0.00,1,8.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,221.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1,100,0,0.00,32,1042.19
3008,90,1057.37,0,0.00,1,6.60,1,19.8,0,0.00,1,7.65,0,0.00,0,0.00,2,111.37,0,0.00,1,12.76,0,0.00,3,222.75,0,0.00,0,0.00,1,7.80,0,0,2,11,0,0,0,0.00,102,1456.66
3011,781,4133.88,6,35.80,5,60.62,10,48.95,8,42.07,8,102.29,14,180.04,14,144.57,6,44.59,4,56.02,7,48.59,14,149.56,12,198.00,5,31.09,5,24.37,12,73.39,8,55,7,34,6,29,1,6.16,933,5497.62
3012,1217,6635.15,7,76.07,16,107.82,16,100.42,18,125.53,16,101.47,13,124.15,20,181.36,14,68.95,9,60.86,14,108.98,23,181.36,22,291.76,13,82.59,15,117.86,18,167.62,16,110,19,142,4,23,2,14.57,1492,8821.46
3013,843,3660.50,1,9.99,7,41.72,11,78.825,10,59.65,15,94.96,7,44.53,15,184.12,8,57.64,6,44.18,10,74.35,10,104.05,14,100.11,2,12.87,10,72.63,7,50.86,9,68,7,72,9,63,3,29.78,1004,4924.82
3015,991,4077.30,9,66.80,10,55.94,11,94.275,17,108.99,11,67.21,11,78.20,10,111.96,4,26.42,4,28.58,13,88.96,11,83.25,13,99.48,3,19.14,10,69.53,13,71.92,4,18,6,66,2,17,2,9.76,1155,5258.21
3016,902,4142.71,10,72.89,10,64.25,13,95.815,3,12.33,9,62.83,36,131.54,15,103.59,3,30.65,7,51.05,8,52.18,15,98.44,6,39.56,9,61.81,7,68.94,7,63.34,8,79,36,130,4,25,6,46.47,1114,5432.40
3018,1093,5378.38,11,64.53,15,99.11,14,179.1,9,150.92,11,85.19,5,127.31,10,77.07,8,66.46,18,86.16,8,87.02,8,77.49,14,234.69,1,3.12,10,59.60,10,165.14,9,88,8,87,5,49,1,5.85,1268,7172.12
3019,450,2421.29,10,50.17,10,52.42,15,160.9,11,74.09,9,72.33,7,45.81,7,38.21,9,49.47,2,69.48,5,24.42,9,58.92,6,39.47,0,0.00,6,39.96,14,70.86,4,15,4,15,3,33,0,0.00,581,3330.50
