Small Unit Installation Postcode,Previous Years (2001-2020) - Installation Quantity,Previous Years (2001-2020) - SGU Output Rated Output in kW,Jan 2021 - Installations Quantity,Jan 2021 - SGU Rated Output In kW,Feb 2021 - Installations Quantity,Feb 2021 - SGU Rated Output In kW,Mar 2021 - Installations Quantity,Mar 2021 - SGU Rated Output In kW,Apr 2021 - Installations Quantity,Apr 2021 - SGU Rated Output In kW,May 2021 - Installations Quantity,May 2021 - SGU Rated Output In kW,June 2021 - Installations Quantity,June 2021 - SGU Rated Output In kW,July 2021 - Installations Quantity,July 2021 - SGU Rated Output In kW,Aug 2021 - Installations Quantity,Aug 2021 - SGU Rated Output In kW,Sep 2021 - Installations Quantity,Sep 2021 - SGU Rated Output In kW,Oct 2021 - Installations Quantity,Oct 2021 - SGU Rated Output In kW,Nov 2021 - Installations Quantity,Nov 2021 - SGU Rated Output In kW,Dec 2021 - Installations Quantity,Dec 2021 - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output in kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output in kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output in kW,June 2022 - Installations Quantity,June 2022 - SGU Rated Output in kW,July 2022 - Installations Quantity,July 2022 - SGU Rated Output in kW,Installations Quantity Total,SGU Rated Output In kW Total
0000,4,4.46,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,4,4.46
0200,1,0.08,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,0.08
0800,106,2547.09,0,0.00,1,35.20,1,6.63,1,6.66,2,41.58,1,61.05,2,64.38,0,0.00,1,62.70,0,0.00,0,0.00,3,182.22,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,118,3007.51
0801,8,234.86,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,42.24,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,10,277.10
0803,2,11.69,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,11.69
0804,15,78.31,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,15,78.31
0810,3226,20617.71,11,121.91,21,187.59,32,224.85,15,144.25,25,165.53,16,135.63,22,205.95,16,175.32,14,92.88,32,225.87,23,236.40,24,336.65,7,152.64,18,138.16,20,145.59,21,240,19,140,16,141,4,48.41,3582,23876.04
0811,2,9.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,9.00
0812,1773,10790.74,15,179.89,17,110.93,10,67.27,11,100.20,16,195.30,7,65.52,16,108.59,9,67.55,7,43.89,9,80.46,19,133.27,14,98.01,9,152.27,13,90.02,13,104.50,8,62,7,47,6,46,8,62.05,1987,12605.25
0813,7,85.55,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,7,85.55
0814,3,13.06,0,0.00,1,5.18,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,4,18.24
0820,1060,10961.64,6,49.88,14,247.49,14,151.98,9,68.90,8,81.73,13,117.58,15,137.00,9,64.57,9,82.20,14,176.41,11,206.76,10,101.08,2,15.60,5,37.37,15,297.58,9,62,9,117,7,63,2,15.17,1241,13054.67
0821,7,156.30,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,7,156.30
0822,868,9149.64,6,53.99,5,48.30,7,158.07,7,66.30,11,134.88,7,88.84,6,102.56,6,98.19,9,117.73,10,111.91,16,186.51,13,201.22,2,13.26,9,76.00,8,95.52,6,94,11,102,4,32,9,77.71,1020,11008.30
0828,221,3236.36,1,6.66,9,127.34,9,140.42,8,52.64,4,33.09,7,43.85,6,39.27,2,15.70,3,53.59,2,15.90,4,79.80,6,137.60,2,46.56,4,28.43,2,13.29,1,9,8,133,2,13,0,0.00,301,4225.79
0829,34,872.38,2,18.50,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,9.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,37,899.98
0830,1907,12038.42,16,153.72,22,138.56,15,124.72,4,29.09,14,101.03,11,71.92,12,122.57,10,78.26,16,107.58,21,162.25,20,233.72,22,157.55,8,74.18,13,146.68,19,132.14,9,64,16,129,13,98,5,43.04,2173,14205.33
0831,9,38.98,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,9,38.98
0832,2217,13227.37,23,147.39,27,168.35,23,153.195,11,77.46,19,202.18,24,181.88,27,206.65,21,190.44,22,153.62,33,211.84,37,262.92,24,172.35,12,82.87,15,102.25,32,218.69,17,127,16,133,23,164,9,73.44,2632,16257.32
0834,225,1608.53,2,21.97,2,15.10,3,21.685,1,6.63,2,39.07,3,23.88,2,40.30,1,10.56,3,31.24,1,15.20,6,49.87,3,29.82,1,9.25,2,28.31,1,13.26,0,0,2,18,2,17,1,4.44,263,2004.04
0835,481,3186.51,2,15.90,4,32.13,3,11.45,0,0.00,7,48.10,2,19.00,2,13.32,3,28.57,5,49.60,3,18.84,6,132.04,6,48.49,0,0.00,6,54.54,3,35.88,2,23,2,28,1,8,2,19.98,540,3774.46
0836,1141,7816.48,4,26.75,10,69.17,9,117.47,5,29.67,7,60.61,5,48.06,5,50.76,7,80.67,7,57.30,8,67.45,16,147.14,13,112.21,1,10.78,9,76.73,20,183.73,13,131,10,102,10,110,2,10.07,1302,9307.46
0837,60,574.52,0,0.00,0,0.00,0,0,1,9.25,1,9.24,1,14.80,0,0.00,0,0.00,0,0.00,0,0.00,1,12.58,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,9,0,0,0,0.00,65,629.52
0838,118,901.64,0,0.00,1,34.65,0,0,1,9.10,1,9.25,1,6.60,1,9.24,1,9.25,1,9.10,1,23.00,1,11.10,1,10.36,0,0.00,0,0.00,2,14.43,2,16,2,22,0,0,0,0.00,134,1086.20
0839,21,424.53,1,6.60,0,0.00,0,0,0,0.00,2,44.41,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,99.50,0,0.00,0,0.00,1,99.90,2,18,1,7,0,0,0,0.00,29,699.35
0840,109,672.29,0,0.00,2,8.48,1,9.24,0,0.00,0,0.00,0,0.00,0,0.00,2,15.71,2,13.26,3,22.50,1,9.99,1,13.32,2,15.91,1,6.59,0,0.00,0,0,0,0,1,7,1,8.97,126,802.91
0841,68,724.58,0,0.00,0,0.00,0,0,0,0.00,2,18.11,1,9.10,0,0.00,0,0.00,0,0.00,4,61.72,2,22.29,1,12.95,1,6.66,0,0.00,1,8.97,2,25,0,0,1,13,0,0.00,83,903.17
0845,70,584.24,0,0.00,1,8.25,1,6.6,1,6.65,1,8.58,1,5.76,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,9.24,0,0.00,0,0.00,0,0,3,20,0,0,1,8.97,80,658.27
0846,44,298.35,0,0.00,0,0.00,1,6.6,0,0.00,1,6.66,1,6.60,0,0.00,1,1.98,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,1,7,0,0,0,0.00,49,326.85
0847,21,265.31,0,0.00,0,0.00,0,0,1,6.60,0,0.00,0,0.00,2,11.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,24,283.01
0850,776,6174.21,6,45.41,9,61.38,6,44.71,7,46.56,10,95.99,7,52.35,11,148.76,7,54.39,3,36.23,7,47.66,3,21.24,2,19.98,2,95.38,5,33.21,5,131.07,6,58,0,0,7,52,0,0.00,879,7217.62
0851,46,325.38,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,39,0,0,0,0,0,0.00,47,364.38
0852,150,1879.37,1,11.10,1,9.25,0,0,1,4.44,6,48.60,7,134.26,13,79.25,4,16.83,22,146.67,11,90.84,1,32.40,4,55.73,0,0.00,1,10.36,9,196.74,3,124,5,252,2,15,0,0.00,241,3106.67
0853,1,2.65,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,50.32,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,52.97
0854,13,159.20,0,0.00,0,0.00,2,46.45,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,8.88,1,19.50,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,17,234.03
0860,120,697.06,0,0.00,0,0.00,2,39.44,0,0.00,0,0.00,4,21.12,9,83.45,1,6.66,7,66.60,1,9.25,0,0.00,1,99.90,0,0.00,1,4.44,0,0.00,0,0,0,0,0,0,1,16.38,147,1044.30
0861,21,121.60,0,0.00,0,0.00,0,0,0,0.00,0,0.00,3,14.52,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,24,136.12
0862,33,366.59,0,0.00,0,0.00,0,0,0,0.00,1,10.73,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,34,377.32
0870,2515,15546.55,4,94.97,11,124.38,15,126.74,13,109.88,22,203.43,26,179.17,33,245.77,17,276.28,12,103.53,27,236.30,13,82.87,24,290.92,1,11.57,7,52.10,13,87.67,10,74,5,109,14,152,4,29.19,2786,18136.84
0871,57,407.38,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,4.44,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,58,411.82
0872,169,1983.58,0,0.00,5,157.72,11,136.565,11,56.85,3,124.88,3,15.54,1,4.07,5,31.02,2,5.28,2,101.88,2,54.60,2,7.40,0,0.00,2,36.97,2,63.68,2,52,4,124,1,16,1,13.26,228,2986.28
0873,132,989.07,1,9.00,1,6.63,0,0,1,6.66,3,19.98,0,0.00,0,0.00,0,0.00,0,0.00,1,12.64,2,25.58,6,47.36,0,0.00,0,0.00,1,13.14,1,7,0,0,2,13,1,14.82,152,1164.86
0874,17,134.56,0,0.00,0,0.00,0,0,1,6.29,0,0.00,1,6.66,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,6.66,1,6.66,0,0,0,0,0,0,0,0.00,21,160.83
0875,125,800.60,0,0.00,4,26.84,0,0,2,14.43,2,13.32,2,13.32,0,0.00,0,0.00,4,26.64,5,41.85,1,27.88,5,52.24,0,0.00,0,0.00,1,6.66,3,28,0,0,1,7,0,0.00,155,1058.62
0880,23,239.20,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,23,239.20
0881,12,107.73,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,12,107.73
0885,13,598.60,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,16,142.08,0,0.00,0,0.00,0,0.00,1,30.96,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,30,771.64
0886,10,151.69,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,20.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,11,171.69
1340,1,1.14,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.14
1355,1,1.02,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.02
1435,1,1.54,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.54
1460,1,4.75,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,4.75
1470,2,5.81,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,5.81
1475,3,11.99,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,3,11.99
1480,2,4.88,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,4.88
1485,1,2.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,2.00
1490,1,1.51,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.51
1495,2,11.23,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,11.23
1560,1,5.03,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,5.03
1570,2,11.15,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,11.15
1595,3,11.70,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,3,11.70
1630,7,33.79,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,7,33.79
1640,2,15.08,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,15.08
1655,3,17.85,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,3,17.85
1658,1,5.04,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,5.04
1660,2,13.10,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,13.10
1670,1,4.44,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,4.44
1680,2,9.38,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,9.38
1685,0,0.00,0,0.00,0,0.00,0,0,0,0.00,1,4.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,4.80
1710,1,4.80,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,4.80
1715,2,3.01,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,3.01
1730,4,13.49,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,4,13.49
1741,1,10.00,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,10.00
1755,2,5.10,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,5.10
1765,8,25.80,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,8,25.80
1790,4,115.90,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,4,115.90
1800,1,4.20,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,4.20
1805,2,14.72,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,2,14.72
1830,1,6.08,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,6.08
1835,1,1.14,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.14
1848,1,1.04,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.04
1860,3,25.42,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,3,25.42
1871,1,1.52,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.52
1875,1,1.61,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,1,1.61
1885,5,13.29,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,5,13.29
1890,5,18.04,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,0,0,0,0.00,5,18.04
2000,50,1224.19,0,0.00,1,14.18,2,18.15,1,64.80,1,22.50,1,17.76,0,0.00,0,0.00,0,0.00,1,36.00,1,17.55,0,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0,1,22,0,0.00,59,1437.32
2007,28,357.18,0,0.00,0,0.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,39.96,0,0.00,0,0.00,0,0.00,0,0,0,0,1,4,0,0.00,30,401.19
2008,77,698.83,1,4.90,2,14.12,0,0,2,7.75,1,4.44,2,17.59,1,3.90,0,0.00,1,18.00,0,0.00,1,39.96,1,49.95,0,0.00,0,0.00,2,8.14,1,5,0,0,0,0,0,0.00,92,872.08
2009,17,348.48,0,0.00,0,0.00,0,0,1,36.26,0,0.00,1,54.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,126.00,0,0.00,0,0.00,0,0.00,0,0,1,98,0,0,0,0.00,22,663.08
2010,170,1154.29,3,15.76,2,12.69,5,60.77,3,31.72,5,26.71,2,9.88,0,0.00,3,32.30,4,54.46,2,28.10,1,9.55,1,16.38,2,13.66,2,5.76,7,81.47,1,7,2,9,2,16,0,0.00,217,1585.42
2011,39,478.22,1,12.58,0,0.00,1,8,1,7.77,3,62.93,4,181.47,1,13.32,0,0.00,0,0.00,1,30.42,0,0.00,0,0.00,0,0.00,1,3.33,0,0.00,1,22,0,0,1,7,0,0.00,54,827.46
2015,223,2694.19,0,0.00,7,310.58,5,333.62,4,118.76,5,120.94,2,70.60,3,18.36,2,6.66,5,30.63,1,7.41,3,127.08,8,268.26,3,20.31,3,34.70,2,99.42,2,13,3,123,10,172,1,31.08,292,4600.04
2016,131,724.31,0,0.00,0,0.00,0,0,1,35.04,1,44.03,0,0.00,1,3.51,0,0.00,1,3.33,1,28.05,2,9.82,5,28.04,1,4.00,0,0.00,1,2.22,0,0,3,25,3,22,0,0.00,151,929.62
2017,76,1007.11,0,0.00,0,0.00,0,0,1,6.63,1,35.15,4,30.65,0,0.00,1,18.90,3,9.25,0,0.00,1,99.90,2,80.79,3,17.87,5,16.28,0,0.00,0,0,0,0,0,0,0,0.00,97,1322.53
2018,355,1887.25,3,25.31,5,48.77,10,69.45,10,46.47,9,92.51,5,118.17,3,23.88,3,24.79,7,51.27,4,32.59,8,67.83,8,71.41,3,25.07,3,21.46,6,37.40,8,64,8,151,9,72,4,26.62,471,2957.37
2019,337,3137.64,3,25.16,8,156.30,9,67.19,18,96.79,10,78.31,6,76.14,1,10.36,7,83.90,6,181.60,6,42.42,9,138.01,9,174.93,2,14.95,5,39.89,3,21.32,8,56,1,7,5,47,4,37.43,457,4492.07
2020,329,2350.99,7,36.74,7,70.92,4,41.07,14,65.09,6,35.27,2,13.29,3,23.94,2,13.84,0,0.00,3,113.90,5,131.73,3,28.38,1,6.29,6,42.18,6,133.45,3,26,2,107,8,74,5,63.38,416,3377.92
2021,211,1111.57,1,22.20,3,19.51,6,48.95,5,109.85,7,40.66,1,4.81,0,0.00,0,0.00,5,41.36,6,26.11,6,32.63,2,109.13,3,16.88,3,9.19,3,21.44,0,0,3,17,2,16,0,0.00,267,1647.13
2022,258,1320.41,4,26.14,2,19.55,7,42.23,4,24.33,7,43.16,1,24.30,2,15.96,1,5.01,5,35.37,10,67.37,3,19.94,1,6.66,5,31.53,5,43.50,6,41.03,2,13,3,14,3,21,1,8.91,330,1824.00
2023,232,1647.00,2,19.29,7,65.78,4,24.765,2,13.86,3,37.09,4,28.86,3,38.08,1,3.30,3,21.17,3,36.79,6,63.75,6,43.69,1,6.60,1,12.80,1,11.60,2,20,2,28,4,63,2,26.21,289,2211.74
2024,363,2259.70,2,15.39,4,33.75,5,43.86,9,61.39,2,13.32,6,38.99,4,63.46,2,18.18,9,84.46,4,32.93,5,49.45,7,69.17,1,5.48,3,24.28,3,22.80,1,5,6,51,5,37,0,0.00,441,2929.80
2025,125,663.20,1,7.40,2,17.89,3,25.14,2,10.72,1,6.66,0,0.00,1,7.80,0,0.00,0,0.00,2,34.04,4,42.90,6,54.09,0,0.00,2,11.12,1,34.20,3,35,4,42,1,5,1,6.16,159,1003.34
2026,523,2520.96,10,80.22,12,81.07,10,66.39,15,122.62,12,98.79,13,124.60,5,33.12,7,43.88,11,110.57,5,37.70,6,47.75,12,95.96,3,27.96,9,58.38,5,36.17,6,46,7,75,8,67,3,23.45,682,3798.41
2027,76,531.34,1,3.29,0,0.00,1,8.14,1,3.30,0,0.00,0,0.00,1,8.14,1,6.63,1,9.00,0,0.00,1,29.65,3,31.88,0,0.00,0,0.00,1,7.48,0,0,0,0,1,7,0,0.00,88,646.15
2028,57,390.60,0,0.00,1,14.80,2,21.25,3,69.36,0,0.00,0,0.00,0,0.00,1,7.80,0,0.00,0,0.00,1,10.44,3,78.87,1,4.08,1,12.45,2,27.27,0,0,1,9,2,11,0,0.00,75,656.65
2029,163,982.44,1,6.66,5,35.76,4,43.29,5,37.11,3,21.52,2,12.32,1,8.14,3,24.99,2,15.17,3,41.34,3,37.75,3,26.26,4,38.32,2,22.92,0,0.00,1,11,3,31,3,40,3,30.38,214,1466.62
2030,412,2668.82,7,74.37,2,11.85,9,79.865,4,61.28,5,30.34,10,80.86,8,62.45,6,50.56,8,61.76,10,84.55,12,126.31,12,166.69,1,10.36,9,84.66,5,34.52,5,38,0,0,6,52,4,53.60,535,3832.46
