Small Unit Installation Postcode,Previous Years (2001-2015) - Installations Quantity,Previous Years (2001-2015) - SGU Rated Output In kW,Jan 2016 - Installations Quantity,Jan 2016 - SGU Rated Output In kW,Feb 2016 - Installations Quantity,Feb 2016 - SGU Rated Output In kW,Mar 2016 - Installations Quantity,Mar 2016 - SGU Rated Output In kW,Apr 2016 - Installations Quantity,Apr 2016 - SGU Rated Output In kW,May 2016 - Installations Quantity,May 2016 - SGU Rated Output In kW,Jun 2016 - Installations Quantity,Jun 2016 - SGU Rated Output In kW,Jul 2016 - Installations Quantity,Jul 2016 - SGU Rated Output In kW,Aug 2016 - Installations Quantity,Aug 2016 - SGU Rated Output In kW,Sep 2016 - Installations Quantity,Sep 2016 - SGU Rated Output In kW,Oct 2016 - Installations Quantity,Oct 2016 - SGU Rated Output In kW,Nov 2016 - Installations Quantity,Nov 2016 - SGU Rated Output In kW,Dec 2016 - Installations Quantity,Dec 2016 - SGU Rated Output In kW,Jan 2017 - Installations Quantity,Jan 2017 - SGU Rated Output In kW,Feb 2017 - Installations Quantity,Feb 2017 - SGU Rated Output In kW,Mar 2017 - Installations Quantity,Mar 2017 - SGU Rated Output In kW,Apr 2017 - Installations Quantity,Apr 2017 - SGU Rated Output In kW,May 2017 - Installations Quantity,May 2017 - SGU Rated Output In kW,Jun 2017 - Installations Quantity,Jun 2017 - SGU Rated Output In kW,Jul 2017 - Installations Quantity,Jul 2017 - SGU Rated Output In kW,Aug 2017 - Installations Quantity,Aug 2017 - SGU Rated Output In kW,Sep 2017 - Installations Quantity,Sep 2017 - SGU Rated Output In kW,Oct 2017 - Installations Quantity,Oct 2017 - SGU Rated Output In kW,Nov 2017 - Installations Quantity,Nov 2017 - SGU Rated Output In kW,Dec 2017 - Installations Quantity,Dec 2017 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2090,109,302.531,1,6.3,2,6.25,1,3.18,1,4.68,1,3,2,4.12,1,10.24,0,0,0,0,1,3.12,3,12.73,0,0,2,7.8,0,0,0,0,1,3,0,0,1,17.28,1,3.245,3,11.8,0,0,2,7.02,2,16.415,2,11.12,136,433.831
2092,198,614.768,1,13.52,0,0,3,16.95,3,9.465,2,7.28,1,2.565,3,14.3,5,40.915,0,0,1,5.2,1,3.12,3,11.28,3,12.92,2,12.06,2,7.83,2,6.16,4,12.09,2,8.89,1,2.88,2,16.71,2,14.25,3,11.545,4,30.637,3,99.07,251,974.405
2093,479,"1,330.03",1,4.5,1,2.75,1,3.12,2,8.91,5,18.701,5,41.76,3,39.584,4,18.815,2,9.62,3,109.12,3,14.58,5,23.13,4,15.895,3,10.49,3,6.98,7,35.84,5,27.266,4,16.65,4,20.85,5,28.77,3,14.11,5,26.96,6,43.51,8,102.26,571,"1,974.20"
2094,83,192.965,2,6.56,1,3.135,0,0,1,6.615,0,0,0,0,0,0,0,0,0,0,1,5.12,2,5.24,1,5.94,0,0,0,0,5,20.82,0,0,1,5.2,2,9.5,0,0,1,5.28,1,5.28,0,0,1,15.08,1,12.76,103,299.495
2095,149,480.746,3,27.26,3,13.381,3,9.89,0,0,1,5,1,4.9,1,4.75,2,8.12,0,0,3,10.523,0,0,2,18.24,0,0,0,0,2,16.07,1,8.58,0,0,2,9.33,2,13.65,2,17.79,0,0,2,10.5,2,9.735,3,18.42,184,686.885
2096,291,809.656,3,12.24,2,9.275,2,9.9,2,8.05,2,42,0,0,6,28.745,3,14.14,2,6,2,9.195,2,11.44,5,45.34,2,7.74,4,21.423,0,0,1,4.59,3,13.442,1,5.98,3,16.085,4,25.11,2,11.34,0,0,5,17.04,2,18.45,349,"1,147.18"
2097,427,"1,039.02",2,6.48,3,8.08,2,7.1,4,20.2,4,17.07,0,0,5,21.82,6,34.96,1,3,1,1.56,5,28.74,1,2.16,1,1.68,2,9.96,1,9.6,4,22.32,7,29.42,4,21.435,3,21.635,4,29.725,1,4.578,6,31.33,4,22.685,3,19.83,501,"1,414.39"
2099,784,"2,092.77",4,17.8,6,30.785,4,21.67,7,47.41,5,19.4,4,40.885,2,16.12,3,19.46,4,21.8,4,16.485,4,11.06,6,29.5,4,15.73,5,22.98,4,17.78,7,37.538,6,25.68,6,40.09,4,22.96,10,41.32,4,19.38,13,64.2,5,59.22,8,38.18,913,"2,790.20"
2100,625,"1,937.62",1,2.08,2,17.225,7,32.39,1,99,4,53.305,5,22.34,1,2.6,3,15.94,5,46.352,5,40.295,3,16.7,3,45.02,5,18.7,7,31.52,3,12.8,4,14.85,7,47.62,5,22.91,6,26.49,8,36.215,4,20.52,6,55.185,9,49.33,4,22.3,733,"2,689.31"
2101,494,"1,369.76",1,4.96,0,0,1,4.68,1,3.06,4,20.28,2,7.94,2,9.8,3,11.115,6,36.765,4,11.7,4,19.865,5,21.6,5,28.05,3,16.32,3,6.075,1,3.24,2,7.69,1,3.2,7,36.844,5,27.24,3,11.54,2,30.04,4,26.101,5,56.705,568,"1,774.57"
